Title,Company,Location,Salary,Skills,Experience level
SQL Engineer,Sapiens Software Solutions Poland Sp. z o.o. ,"Remote, Gdynia, Katowice, Łódź",,  Excel   SQL  ,Junior
SQL Specialist,Sapiens Software Solutions Poland Sp. z o.o. ,"Remote, Gdynia, Katowice, Łódź",,  Excel   SQL  ,Junior
Junior C# Developer,ITS International Services Sp. z o.o.,"Zielona Góra, Kraków, Poznań, Szczecin",,  C#  ,Junior
Implementation Engineer,Sapiens Software Solutions Poland Sp. z o.o. ,"Remote, Szczecin, Gdynia",,  Excel   SQL  ,Junior
IT Technical Consultant / Support Engineer,Blue Yonder,Warszawa,7 000 - 9 000 PLN,  Join us to fulfill your Potential! ,Junior
Junior Model Developer,Commerzbank - Centrum Technologii Cyfrowych w Polsce,Łódź,Znamy widełki, ,Junior
Junior Node.js Developer,Power Media,Remote,,  Node.js   TypeScript  ,Junior
Specjalista ds. wdrożeń,Sapiens Software Solutions Poland Sp. z o.o. ,"Remote, Gdynia, Katowice, Łódź",,  Excel   SQL  ,Junior
Robotic Academy- program praktyk w zespole Intelligent Automation & Rapid Solutions,KPMG w Polsce ,"Remote, Warszawa, Kraków i 5 więcej",, ,Junior
Junior IoT Specialist,Transition Technologies PSC S.A.,"Remote, Białystok, Kielce i 3 więcej",,  Java   JavaScript   CSS  ,Junior
Junior Java Developer,ONWELO SA,Lublin,5 000 - 6 000 PLN,  Java   Git   MS SQL  ,Junior
Junior Frontend Developer,ONWELO SA,Lublin,5 000 - 6 000 PLN,  HTML5   CSS3   Angular  ,Junior
Junior Java Developer ,Horus sp. z o.o.,Warszawa,4 000 - 8 000 PLN,   JavaScript   Git   REST  ,Junior
Implementation Engineer,Sapiens Software Solutions Poland Sp. z o.o. ,"Remote, Gdynia, Katowice, Łódź",,  Excel   SQL  ,Junior
SQL Engineer,Sapiens Software Solutions Poland Sp. z o.o. ,"Remote, Gdynia, Katowice, Łódź",,  Excel   SQL  ,Junior
Tester ze znajomością Java,Sii Polska,Gdańsk,,  Java  ,Junior
SQL Specialist,Sapiens Software Solutions Poland Sp. z o.o. ,"Remote, Gdynia, Katowice, Łódź",,  Excel   SQL  ,Junior
Junior Business Analyst,Sollers Consulting,"Warszawa, Poznań, Lublin i 3 więcej",5 700 - 10 500 PLN,  Business Consulting ,Junior
Junior Java Developer,Sollers Consulting,"Warszawa, Poznań, Lublin i 3 więcej",5 400 - 11 500 PLN,"  OOP, Java, Spring ",Junior
Junior Validation Engineer,Sii Polska,Gdańsk,,  Validation ,Junior
Junior Technik Labowy,Sii Polska,Gdańsk,,"  Junior (Windows, Linux) ",Junior
Junior Analityk IT,Bank Millennium,Warszawa,12 000 - 26 000 PLN,  MS SQL   UML  ,Junior
Junior C# Validation Engineer,Sii Polska,Gdańsk,4 000 - 5 000 PLN,  Validation ,Junior
Junior Systems Integration Engineer,Diebold Nixdorf,"Kraków, Katowice",Znamy widełki, ,Junior
Junior C Developer,HARMAN Connected Services Poland ,Remote,7 000 - 17 300 PLN,  Embedded ,Junior
Młodszy Tester Automatyzujący,Pentacomp Systemy Informatyczne,"Remote, Warszawa",, ,Junior
Młodszy Programista Java,KAMSOFT S.A.,"Remote, Katowice, Sosnowiec",3 500 - 6 500 PLN,  Java   SVN   Oracle Database  ,Junior
Junior Analityk IT Centralnego Systemu Bankowego,Bank Millennium,Warszawa,,  UML   JSON  ,Junior
Junior Administrator Backup & Storage,Bank Millennium,Warszawa,,  Linux   Windows   Unity  ,Junior
Junior Administrator Vmware,Bank Millennium,Warszawa,,  Linux   Windows   ITIL  ,Junior
"Junior Programista ETL/SQL, DevOps",Bank Millennium,Warszawa,,  SQL   Shell  ,Junior
"Junior Programista ETL/SQL, DevOps",Bank Millennium,Wrocław,,  SQL   Shell  ,Junior
