Title,Company,Location,Salary,Skills,Experience level
AWS DevOps Engineer,Sigma IT Poland,"Remote, Wrocław",18 000 - 25 200 PLN,  exploration of genomics signals ,Mid
Software Tester,Adamed Pharma S.A.,Kraków,,  C# lub Java ,Mid
SysOps (AWS),Sigma IT Poland,Remote,10 000 - 17 800 PLN,  SysOps AWS Python  ,Mid
ODI Developer (Data Warehousing),Sigma IT Poland,Remote,15 000 - 23 500 PLN,"  ODI, Oracle, SQL, DWH ",Mid
QA Engineer Automation,Luxoft Poland,Remote,,  AWS   Agile  ,Mid
Back-End developer Java,Luxoft Poland,Remote,,  Git   Hibernate   Java  ,Mid
Requirement Engineer,Nokia,Kraków,,  C++ ,Mid
QA Engineer Automation,Luxoft Poland,Remote,,  AWS   Agile  ,Mid
QA Engineer Automation,Luxoft Poland,Remote,,  AWS   Agile  ,Mid
QA Engineer Automation,Luxoft Poland,Remote,,  AWS   Agile  ,Mid
[Data Technology] Software Engineer in Test,Luxoft Poland,Remote,,  CI   Confluence  ,Mid
System Analyst,Luxoft Poland,"Remote, Kraków",,  Agile   BPMN   SQL  ,Mid
System Analyst,Luxoft Poland,"Remote, Kraków",,  Agile   BPMN   SQL  ,Mid
Regular DevOps Engineer,Luxoft Poland,Remote,,  Agile   JIRA   Kubernetes  ,Mid
Integration Specialist / DevOps Engineer,Luxoft Poland,"Remote, Kraków",,  Azure   Azure   Bash  ,Mid
Java Developer,Luxoft Poland,Remote,,  J2EE   Java   MySQL  ,Mid
Test manager ADAS,Luxoft Poland,Remote,, ,Mid
Data Protection/Application Security Project Manager,Luxoft Poland,Warszawa,, ,Mid
QA Engineer,Luxoft Poland,Wrocław,,  Agile   ETL   JIRA  ,Mid
DevOps (Linux Environment),Luxoft Poland,Remote,,  Linux   VMware   Windows  ,Mid
QA & Cybersecurity Engineer/Manager,Luxoft Poland,Remote,, ,Mid
Full Stack Software Developer,Luxoft Poland,Remote,,  C#   CI   Git  ,Mid
Project Management Assistant,Luxoft Poland,Kraków,,  Excel   Word  ,Mid
Training Administrator Poland,Luxoft Poland,Kraków,, ,Mid
Azure DevOps,Luxoft Poland,Wrocław,,  Excel   Linux   Word  ,Mid
.NET Developer,Luxoft Poland,Remote,,  .NET   C#   PL/SQL  ,Mid
PowerBuilder Developer,Luxoft Poland,Remote,,  Agile   Oracle Database   PL/SQL  ,Mid
Embedded Audio Machine Learning Engineer,Luxoft Poland,Remote,,  Big Data   Linux  ,Mid
QA Engineer,Luxoft Poland,Remote,,  Agile   Python   SQL  ,Mid
Front-End developer,Luxoft Poland,Remote,,  Angular   JavaScript  ,Mid
Data Base developer - MS SQL,Luxoft Poland,Remote,,  Agile   MS SQL   SQL  ,Mid
Calypso Developer,Luxoft Poland,Remote,,  Java   Swift   XML  ,Mid
IT Infrastructure System Engineer,Luxoft Poland,Kraków,,  Ansible   Puppet   Shell  ,Mid
Software Developer Java Regular,Luxoft Poland,Wrocław,,  Hibernate   JUnit   Java  ,Mid
DevOps Engineer with Azure,Luxoft Poland,Wrocław,,  Azure   Azure   Confluence  ,Mid
Automation Test Manager,Luxoft Poland,Wrocław,,  .NET   CI   Git  ,Mid
IT System Engineer with Windows Server,Luxoft Poland,"Remote, Kraków",,  Windows   Windows Server  ,Mid
Release and integration engineer,Luxoft Poland,Wrocław,,  Ansible   Bash   Docker  ,Mid
FullStack developer,Luxoft Poland,Kraków,,  Java   JavaScript   React  ,Mid
.Net Developer,Luxoft Poland,Remote,,  .NET   .NET Core   C#  ,Mid
Regular C++ Software Developer,Luxoft Poland,Wrocław,,  C++   Java   Linux  ,Mid
Quality Assurance Tester,Luxoft Poland,Remote,,  Agile   JIRA  ,Mid
React Frontend Developers,Luxoft Poland,Remote,,  CSS   Git   HTML5  ,Mid
Azure Operations Engineer,Luxoft Poland,Remote,,  AWS   Azure   Apache  ,Mid
.Net Back-end developer,Luxoft Poland,Remote,,  .NET   Git   JIRA  ,Mid
Functional Analyst (Enterprise Architect experience - must),Luxoft Poland,Remote,, ,Mid
Test Automation Engineer,Luxoft Poland,Wrocław,,  Android   Appium  ,Mid
C/C++ Regular Software developer,Luxoft Poland,Wrocław,,  C++   Python  ,Mid
BigData\Scala Developer,Luxoft Poland,Remote,,  Agile   Git   Hadoop  ,Mid
Sophis upgrade engineers,Luxoft Poland,Remote,,  Agile   PowerShell  ,Mid
QA Automation Engineer,Luxoft Poland,Wrocław,,  Agile   BDD   CI  ,Mid
Regulatory Business Analysts,Luxoft Poland,Remote,, ,Mid
Solution  Architect,Luxoft Poland,Remote,,  Big Data  ,Mid
Calypso Analyst,Luxoft Poland,Remote,,  BPMN   UML  ,Mid
Programista ETL Oracle / Informatica Power Center (IPC),mBank,"Remote, Warszawa, Łódź",,  JIRA   Confluence   Git  ,Mid
Murex QA Consultant,Luxoft Poland,Warszawa,,  SQL  ,Mid
Temenos Test Engineer,Luxoft Poland,Remote,,  CI   JIRA  ,Mid
Business Intelligence Analyst (Qlik Sense),ONWELO SA,Remote,13 000 - 18 000 PLN,"  QlikSense, SQL, Alteryx ",Mid
"DevOps (Ansible, Terraform, Python)",Luxoft Poland,Remote,,  Linux   Python   Ansible  ,Mid
System Support Engineer DevOps,Luxoft Poland,Wrocław,,  Bash   CI   Jenkins  ,Mid
Kotlin Developer,Sii Polska,Gdańsk,,  Kotlin ,Mid
Java developer - full stack,Luxoft Poland,Remote,,  Agile   Angular   BDD  ,Mid
Quantum Trax Specialist / Analyst,Luxoft Poland,Warszawa,,  SQL  ,Mid
Lead React Native Developer (greenfield),From Poland With Dev,"Remote, Kraków, Bielsko-Biała",16 000 - 30 000 PLN,  VR startup z USA | polskie godziny pracy ,Mid
DevOps engineer with Azure,Luxoft Poland,Remote,,  Azure   Azure   Python  ,Mid
Fenergo Experienced QA,Luxoft Poland,Wrocław,,  .NET   ASP.NET   C#  ,Mid
Fullstack .NET Developer,Online Solutions Sp. z o.o.,Wrocław,10 000 - 16 500 PLN,"  C#, ASP.NET Core / ASP.NET MVC / Web API ",Mid
Java Developer,Luxoft Poland,Remote,,  Git   Java  ,Mid
Data Engineer,Luxoft Poland,Remote,,  Apache   Composer   GCP  ,Mid
WordPress Developer - fullstack,From Poland With Dev,"Remote, Kraków, Bielsko-Biała",7 000 - 16 000 PLN,"  mocny zespół, projekty z US ",Mid
Programista Embedded C/C++,Enigma SOI,"Wrocław, Warszawa",Znamy widełki,  System Dozoru Elektronicznego  ,Mid
C++ Software Engineer,Harvey Nash Technology,Łódź,12 000 - 17 000 PLN,  C++  ,Mid
Full Stack Developer,Harvey Nash Technology,Katowice,Do 22 000 PLN,  C#   .NET   Angular  ,Mid
Programista C++/Qt,Felder Group Polska Sp. z o.o.,Żory,9 000 - 16 000 PLN,  Qt   C++   Git  ,Mid
Salesforce Developer,Harvey Nash Technology,Warszawa,Do 36 000 PLN,  Salesforce   ETL   Informatica  ,Mid
Mid / Senior DevOps Engineer,The WorkinGroup,Remote,23 100 - 27 300 PLN,  AWS oriented ,Mid
Java Engineer,Harvey Nash Technology,"Remote, Gdańsk, Wrocław, Kraków",18 000 - 28 000 PLN,  Java   Spring   REST  ,Mid
React Developer - eCatholic (greenfield),From Poland With Dev,"Remote, Kraków, Bielsko-Biała",15 000 - 26 000 PLN,  nowoczesny stack i projekt z misją ,Mid
.NET Core Developer (Mid/Senior),CSHARK Sp. z o. o.,"Remote, Wrocław, Katowice, Bielsko-Biała",13 000 - 21 000 PLN,  |C#| |.NET Core| |DDD| ,Mid
Android Developer (Mid/Senior),CSHARK Sp. z o. o.,"Remote, Wrocław, Katowice, Bielsko-Biała",16 800 - 22 700 PLN,  |Android SDK| |Kotlin| |RxJava| ,Mid
QA Engineer,Blees sp. z o.o. ,Gliwice,8 000 - 13 000 PLN,  Tworzymy transport przyszłości. ,Mid
Support Engineer,CSHARK Sp. z o. o.,"Remote, Wrocław, Katowice, Bielsko-Biała",14 500 - 17 000 PLN,  |C# / .NET| |T-SQL| |PL/SQL| ,Mid
Tester automatyzujący - Salesforce,Sii Polska,"Remote, Białystok, Częstochowa i 10 więcej",,  Salesforce   Apex   JavaScript  ,Mid
Embedded Software Engineer,Sieć Badawcza Łukasiewicz- Instytut Lotnictwa,Warszawa,,  Przemysł Lotniczy ,Mid
Tester Automatyzujący,Grupa PZU,Remote,,  Budowa nowego systemu Assistance ,Mid
MS SQL Database Administrator,Kyndryl,"Remote, Katowice",,  T-SQL   MS SQL   SharePoint  ,Mid
Programista C Embedded,Sii Polska,"Remote, Gdańsk",,  Embedded ,Mid
Front-end Developer,Sii Polska,"Remote, Gdańsk, Warszawa i 11 więcej",,  Developer ,Mid
Konsultant ds. wdrożeń systemu ERP,Power Media,Kraków,, ,Mid
Embedded Linux Developer - R&D project,Sii Polska,"Gdańsk, Warszawa, Wrocław i 10 więcej",10 000 - 22 000 PLN,  Embedded ,Mid
Fullstack .NET Developer,ONWELO SA,"Remote, Kraków, Warszawa",14 000 - 21 000 PLN,  .NET   C#  ,Mid
Java Developer,ONWELO SA,"Remote, Warszawa, Gdańsk",8 500 - 18 900 PLN,  Java   Spring   Hibernate  ,Mid
Mobile Tester,Sii Polska,"Remote, Kraków, Warszawa i 12 więcej",5 000 - 9 000 PLN,  Postman   SoapUI   Firebase  ,Mid
Administrator/Koordynator SAP w obszarze Produkcji,Inter Europol,Marki,,  SAP: S4/HANA ,Mid
Front-end React Developer ,ONWELO SA,"Remote, Warszawa, Lublin",6 500 - 16 000 PLN,  JavaScript   HTML5   CSS3  ,Mid
QA Automation Engineer with Python,Sii Polska,"Remote, Kraków",,  Python   Selenium  ,Mid
Magento Backend Developer,STRIX,"Remote, Kraków",8 300 - 20 000 PLN,  Pasjonaci Magento budujący e-commerce ,Mid
"DevOps Consultant, R&D Systems Engineer",GSK Tech Global Centre in Poznan,Poznań,, ,Mid
"DevOps Consultant, Veeva Vault System Engineer",GSK Tech Global Centre in Poznan,Poznań,, ,Mid
"Programista Full stack (Java, Angular)",Asseco Poland S.A.,Katowice,,  Java   Angular   MySQL  ,Mid
Data Analyst,GSK Tech Global Centre in Poznan,Poznań,, ,Mid
"Programista Full stack (Java, Angular)",Asseco Poland S.A.,Wrocław,,  Java   Angular   MySQL  ,Mid
Analityk IT,Grupa PZU,Warszawa,,  projekt CRM ,Mid
Scala Developer,Transition Technologies PSC S.A.,"Remote, Białystok, Kielce i 3 więcej",,  Scala   Java  ,Mid
Clickhouse Developer,Transition Technologies PSC S.A.,"Remote, Białystok, Kielce i 3 więcej",,  AWS   Docker   Python  ,Mid
Analityk biznesowy/ Konsultant ds. wdrażania systemów do obiegu dokumentów,BMM,"Rzeszów, Kraków, Lublin i 2 więcej",Znamy widełki,  Linux   Windows Server   ERP  ,Mid
Business Intelligence Developer,C&F,"Remote, Warszawa",,  Power BI ,Mid
QA Engineer,ING Bank Śląski,"Remote, Katowice, Warszawa",,"  REST API, JSON ",Mid
Programista .NET,CENEO.PL,Wrocław,,  Azure ,Mid
Atlassian Specialist,Diebold Nixdorf,"Remote, Wrocław",Znamy widełki, ,Mid
React Developer,Solidstudio Sp. z o.o. ,"Remote, Kraków, Gliwice i 2 więcej",16 800 - 23 100 PLN,  Mid/Senior React Developer ,Mid
ServiceNow Platform Architect,ONWELO SA,"Remote, Warszawa, Kraków",,  CSDM   ServiceNow  ,Mid
