Title,Company,Location,Salary,Skills,Experience level
Lead Web Application Engineer (Angular),Power Media,"Remote, Kraków",,  JavaScript     TypeScritp   Angular 8+  ,Senior
Offering Architect - Cloud [REMOTE in Poland],Kyndryl,"Remote, Warszawa",15 000 - 24 000 PLN,  Azure   AWS   GCP  ,Senior
Senior Business Analyst,Future Processing,"Remote, Gliwice",8 000 - 21 100 PLN,  Możliwość zmiany projektu ,Senior
 Senior Full Stack Developer ,TMS Poland Sp.zo.o.,"Łódź, Bytom",12 000 - 20 000 PLN,  C#/.NET ,Senior
Senior Frontend Developer,Power Media,"Remote, Kraków",,  Angular     React     Vue   ,Senior
Senior Java Developer ,Power Media,"Remote, Wrocław",,  Java   Spring  ,Senior
Starszy Programista Java,PKO BP Finat,"Remote, Warszawa, Łódź, Wrocław",,  Java   Spring Boot   JUnit  ,Senior
Senior Java Developer (Hybris),Power Media,"Remote, Wrocław",,  Java   Hybris    SAP Commerce  ,Senior
Python Data Developer - Team Lead,ONWELO SA,Remote,17 000 - 22 000 PLN,"  Python, Kubernetes, Microservcies ",Senior
Senior Project Manager,Luxoft Poland,Remote,,  Azure   Azure   Big Data  ,Senior
Senior Project Manager,Luxoft Poland,Remote,,  Azure   Azure   Big Data  ,Senior
Senior Big Data Developer with Python,Luxoft Poland,Remote,,  Big Data   Python   Spark  ,Senior
Senior Project Manager,Luxoft Poland,Remote,,  Azure   Azure   Big Data  ,Senior
Senior Python Engineer,Luxoft Poland,Remote,,  Git   JIRA   Linux  ,Senior
Senior Software Developer C++,Luxoft Poland,Wrocław,,  C++   Git   Python  ,Senior
Senior Software Developer C/C++,Luxoft Poland,"Gdańsk, Wrocław",,  C   C++   Ethernet  ,Senior
Senior .net developer,Luxoft Poland,Kraków,,  .NET   C#   Kafka  ,Senior
Senior Data Engineer,Luxoft Poland,Remote,,  GCP   Hadoop   Java  ,Senior
Senior Java Developer,Luxoft Poland,Warszawa,,  Java   Kubernetes   RabbitMQ  ,Senior
Senior C++ developer,Luxoft Poland,Remote,,  C++  ,Senior
Senior Software Developer (C++),Luxoft Poland,"Gdańsk, Wrocław",,  C++   Linux  ,Senior
